ID,Plot,Replicate,Bird Number,Period,Minute,Species,Sex,Detection Method,Distance,New Record,Counter-sing,Site,DateC,TimeC
5876,3,2,22,3,6,REVI,M,S,1,0,1,Spotted Hardwood,16-Jun-12,5:46
819,3,2,22,3,7,BTNW,M,S,1,0,1,Stuart Lake,18-Jun-10,6:32
3578,3,2,22,2,6,OVEN,M,S,1,0,0,Stuart Lake,17-Jun-11,7:24
5774,3,2,22,2,5,CHSP,U,C,2,0,0,Stuart Lake,16-Jun-12,7:08
2413,3,2,23,3,8,OVEN,M,S,2,0,0,Beaver Basin,02-Jul-10,6:25
4248,3,2,23,3,7,REVI,M,S,2,0,1,Beaver Basin,24-Jun-11,6:18
7328,3,2,23,3,6,CSWA,M,S,2,0,0,Beaver Basin,22-Jun-12,6:48
1210,3,2,23,1,3,OVEN,M,S,1,0,0,Spotted Hardwood,23-Jun-10,5:03
4077,3,2,23,3,9,BCCH,U,C,2,1,0,Spotted Hardwood,21-Jun-11,7:54
5877,3,2,23,3,7,REVI,M,S,2,0,1,Spotted Hardwood,16-Jun-12,5:46
820,3,2,23,3,7,BTNW,M,S,2,0,1,Stuart Lake,18-Jun-10,6:32
3579,3,2,23,2,6,PUFI,M,S,2,1,0,Stuart Lake,17-Jun-11,7:24
5775,3,2,23,2,5,CHSW,U,C,2,0,0,Stuart Lake,16-Jun-12,7:08
2414,3,2,24,3,9,CSWA,M,S,1,0,0,Beaver Basin,02-Jul-10,6:25
4249,3,2,24,3,7,WTSP,M,S,2,0,0,Beaver Basin,24-Jun-11,6:18
7329,3,2,24,3,6,REVI,M,S,1,0,0,Beaver Basin,22-Jun-12,6:48
1211,3,2,24,1,3,AMRO,U,C,1,0,0,Spotted Hardwood,23-Jun-10,5:03
4078,3,2,24,3,9,AMRE,M,S,1,0,0,Spotted Hardwood,21-Jun-11,7:54
5878,3,2,24,3,7,AMRO,M,S,2,0,0,Spotted Hardwood,16-Jun-12,5:46
821,3,2,24,3,8,AMRO,M,S,2,0,0,Stuart Lake,18-Jun-10,6:32
3580,3,2,24,3,6,BCCH,U,C,1,1,0,Stuart Lake,17-Jun-11,7:24
5776,3,2,24,2,5,BTNW,M,S,1,0,0,Stuart Lake,16-Jun-12,7:08
2415,3,2,25,3,9,CORA,U,V,1,1,0,Beaver Basin,02-Jul-10,6:25
4250,3,2,25,3,7,EAWP,M,S,1,0,0,Beaver Basin,24-Jun-11,6:18
7330,3,2,25,3,6,RBNU,U,C,1,0,0,Beaver Basin,22-Jun-12,6:48
1212,3,2,25,2,4,AMRE,M,S,2,1,0,Spotted Hardwood,23-Jun-10,5:03
5879,3,2,25,3,7,BTNW,M,S,2,0,0,Spotted Hardwood,16-Jun-12,5:46
822,3,2,25,3,8,HAWO,U,C,1,0,0,Stuart Lake,18-Jun-10,6:32
3581,3,2,25,3,6,BCCH,U,C,1,1,0,Stuart Lake,17-Jun-11,7:24
5777,3,2,25,2,6,AMRO,M,S,1,0,0,Stuart Lake,16-Jun-12,7:08
4251,3,2,26,3,8,CSWA,M,S,1,0,0,Beaver Basin,24-Jun-11,6:18
7331,3,2,26,3,7,BTNW,M,S,2,0,0,Beaver Basin,22-Jun-12,6:48
1213,3,2,26,2,4,YBSA,M,O,1,1,0,Spotted Hardwood,23-Jun-10,5:03
5880,3,2,26,3,8,LEFL,U,C,2,0,0,Spotted Hardwood,16-Jun-12,5:46
823,3,2,26,3,8,LEFL,M,S,1,0,0,Stuart Lake,18-Jun-10,6:32
3582,3,2,26,3,6,REVI,M,S,2,0,0,Stuart Lake,17-Jun-11,7:24
5778,3,2,26,2,6,YBSA,M,S,2,1,0,Stuart Lake,16-Jun-12,7:08
4252,3,2,27,3,9,MOWA,M,S,2,0,0,Beaver Basin,24-Jun-11,6:18
7332,3,2,27,3,7,CHSW,U,C,2,1,0,Beaver Basin,22-Jun-12,6:48
1214,3,2,27,2,4,YBSA,U,C,2,1,0,Spotted Hardwood,23-Jun-10,5:03
5881,3,2,27,3,8,OVEN,M,S,2,0,0,Spotted Hardwood,16-Jun-12,5:46
824,3,2,27,3,8,BTBW,M,S,1,0,0,Stuart Lake,18-Jun-10,6:32
3583,3,2,27,3,7,BTBW,M,S,1,0,0,Stuart Lake,17-Jun-11,7:24
5779,3,2,27,2,6,AMRE,M,S,1,0,0,Stuart Lake,16-Jun-12,7:08
4253,3,2,28,3,9,BHCO,U,C,1,1,0,Beaver Basin,24-Jun-11,6:18
7333,3,2,28,3,7,CHSW,U,C,2,1,0,Beaver Basin,22-Jun-12,6:48
1215,3,2,28,2,5,VEER,U,C,1,0,0,Spotted Hardwood,23-Jun-10,5:03
5882,3,2,28,3,8,AMRO,U,C,1,1,0,Spotted Hardwood,16-Jun-12,5:46
825,3,2,28,3,9,BRCR,M,S,1,1,0,Stuart Lake,18-Jun-10,6:32
3584,3,2,28,3,7,REVI,U,C,1,0,0,Stuart Lake,17-Jun-11,7:24
5780,3,2,28,3,6,BTNW,M,S,1,0,0,Stuart Lake,16-Jun-12,7:08
4254,3,2,29,3,9,AMRO,U,C,1,0,0,Beaver Basin,24-Jun-11,6:18
7334,3,2,29,3,8,AMGO,M,S,2,0,0,Beaver Basin,22-Jun-12,6:48
